Id,MS Zoning,Land Contour,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Foundation,Bsmt Qual,Total Bsmt SF,Heating QC,1st Flr SF,Gr Liv Area,Full Bath,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Sale Type,SalePrice,Age_Built,Age_Remod,Age_Garage
1537,RL,HLS,Inside,Crawfor,Norm,1Fam,2Story,8,Gable,BrkFace,Stucco,Stone,3,PConc,3,608.0,3,983,1873,1,1,3,9,2,4,Detchd,3,2.0,786.0,WD ,257076,73,58,73.0
905,RL,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,Gable,Wd Sdng,Wd Sdng,None,3,CBlock,3,984.0,5,984,1604,2,1,3,6,0,0,Detchd,1,2.0,660.0,WD ,117000,68,49,32.0
1532,RL,HLS,Inside,Crawfor,Norm,1Fam,2Story,7,Gable,Stucco,Wd Shng,None,3,BrkTil,4,776.0,3,851,1502,1,1,3,6,1,4,Attchd,2,1.0,270.0,WD ,149000,77,8,77.0
132,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,HdBoard,HdBoard,Stone,3,CBlock,3,1056.0,3,1063,1063,1,1,3,6,0,0,Attchd,2,1.0,280.0,WD ,128000,56,56,56.0
1078,RL,Lvl,Inside,NridgHt,Norm,Twnhs,2Story,7,Gable,VinylSd,Wd Shng,Stone,4,PConc,4,764.0,5,764,1626,2,1,4,6,0,0,BuiltIn,2,2.0,474.0,WD ,155000,5,4,5.0
2511,FV,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,6,Gable,MetalSd,MetalSd,BrkFace,4,PConc,4,756.0,5,768,1524,2,1,4,4,0,0,Detchd,1,2.0,440.0,WD ,166000,6,6,6.0
912,RL,Lvl,Inside,SWISU,Norm,1Fam,1.5Fin,4,Gable,WdShing,Plywood,None,3,BrkTil,3,1122.0,3,1328,1981,2,1,4,7,2,3,Detchd,1,2.0,576.0,WD ,135000,81,59,28.0
2351,RL,Lvl,Inside,NWAmes,RRAn,1Fam,2Story,7,Gable,Plywood,Plywood,BrkFace,3,CBlock,4,1392.0,3,1392,2784,3,1,4,12,2,3,Attchd,2,2.0,564.0,WD ,250000,28,28,28.0
330,RM,Lvl,Inside,MeadowV,Norm,Twnhs,2Story,4,Gable,CemntBd,CmentBd,None,3,CBlock,3,546.0,5,546,1092,1,1,3,5,0,0,None,0,0.0,0.0,WD ,76000,40,40,0.0
2586,RL,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,Hip,Wd Sdng,Wd Sdng,BrkFace,3,CBlock,3,216.0,3,1575,1575,1,1,4,5,1,4,Attchd,1,2.0,400.0,WD ,155000,55,55,55.0
224,RL,Lvl,Corner,Sawyer,Norm,1Fam,2Story,6,Gable,HdBoard,HdBoard,Stone,3,CBlock,3,663.0,3,663,1352,1,1,3,7,0,0,Attchd,3,1.0,299.0,WD ,158000,41,41,41.0
98,FV,Lvl,Inside,Somerst,Norm,Twnhs,2Story,7,Gable,MetalSd,MetalSd,None,4,PConc,4,600.0,5,600,1200,2,1,4,4,0,0,Detchd,2,2.0,480.0,WD ,149500,6,5,6.0
2565,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,MetalSd,MetalSd,None,3,CBlock,3,936.0,3,936,936,1,1,3,5,0,0,Attchd,1,1.0,240.0,WD ,121000,52,31,52.0
1934,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Hip,Wd Sdng,Wd Sdng,None,3,CBlock,3,1040.0,3,1040,1040,1,1,3,6,0,0,Attchd,3,1.0,293.0,WD ,136000,54,54,54.0
997,RL,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,Gable,HdBoard,HdBoard,None,3,PConc,4,916.0,4,916,1636,2,1,3,7,1,3,Attchd,3,2.0,386.0,WD ,173000,12,12,12.0
64,RL,Lvl,CulDSac,NoRidge,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,BrkFace,4,PConc,4,1152.0,5,1164,2270,2,1,4,9,1,4,Attchd,3,3.0,671.0,WD ,290000,11,3,11.0
1799,FV,Lvl,Inside,Somerst,Norm,1Fam,2Story,8,Gable,CemntBd,CmentBd,None,4,PConc,4,1184.0,5,1184,2610,2,1,5,11,1,4,BuiltIn,3,2.0,550.0,New,303477,0,1,1.0
230,RL,Low,Inside,ClearCr,Norm,1Fam,1Story,7,Hip,Wd Sdng,Wd Sdng,None,4,CBlock,4,1420.0,4,1483,1483,1,1,3,4,2,3,Attchd,2,2.0,690.0,WD ,270000,33,9,33.0
1295,RM,Lvl,Corner,OldTown,Artery,1Fam,1.5Fin,5,Gable,WdShing,Wd Shng,None,2,BrkTil,3,936.0,4,960,1740,1,1,5,6,1,4,Detchd,1,1.0,225.0,WD ,122250,88,58,88.0
638,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,AsbShng,AsbShng,None,3,CBlock,3,1382.0,4,1382,1382,1,1,4,6,0,0,Attchd,1,1.0,350.0,WD ,153000,54,54,54.0
2278,RL,Lvl,Inside,Mitchel,Feedr,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,3,PConc,4,1120.0,5,1120,1120,1,1,3,6,0,0,None,0,0.0,0.0,New,147000,0,0,0.0
2202,RL,Lvl,Inside,Crawfor,Norm,1Fam,2Story,7,Gable,Wd Sdng,Wd Sdng,None,3,BrkTil,4,531.0,3,567,1098,1,1,3,5,1,4,Detchd,1,1.0,216.0,WD ,148500,77,12,77.0
2833,RM,Lvl,Inside,Edwards,Norm,TwnhsE,2Story,7,Gable,VinylSd,VinylSd,Stone,4,PConc,4,976.0,5,976,1708,2,1,4,7,0,0,Detchd,1,2.0,380.0,WD ,130000,2,2,2.0
1707,RL,HLS,Corner,NridgHt,Norm,1Fam,1Story,9,Hip,MetalSd,MetalSd,Stone,5,PConc,5,1802.0,5,1802,1802,2,1,5,7,1,4,Attchd,3,3.0,843.0,WD ,372000,1,1,1.0
2428,RL,Lvl,Inside,Blmngtn,Norm,TwnhsE,1Story,7,Gable,VinylSd,VinylSd,BrkFace,4,PConc,4,1362.0,5,1506,1506,2,1,4,6,1,4,Attchd,3,2.0,440.0,WD ,213490,1,1,1.0
242,RL,Lvl,Inside,Edwards,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,Stone,4,PConc,4,1508.0,5,1508,1508,1,1,4,5,2,3,Attchd,2,2.0,572.0,Con,308030,1,0,1.0
1564,RL,Lvl,Inside,Mitchel,Norm,1Fam,1Story,7,Gable,MetalSd,MetalSd,BrkFace,4,PConc,5,1840.0,5,2032,2032,3,1,4,7,0,0,Attchd,3,3.0,786.0,WD ,300000,12,11,12.0
2613,RL,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,Hip,BrkFace,BrkFace,None,3,CBlock,3,655.0,5,1194,1194,1,1,3,6,1,2,BuiltIn,3,2.0,539.0,WD ,159500,47,47,52.0
2832,RM,Lvl,Inside,Edwards,Norm,Twnhs,2Story,7,Gable,VinylSd,VinylSd,Stone,4,PConc,4,970.0,5,970,1709,2,1,4,7,0,0,Detchd,1,2.0,380.0,WD ,137500,2,2,2.0
2459,RL,Lvl,Inside,Somerst,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,BrkFace,4,PConc,4,1616.0,5,1616,1616,2,1,4,7,0,0,Attchd,2,3.0,834.0,WD ,232000,1,1,1.0
1360,RM,Lvl,Inside,IDOTRR,RRNe,1Fam,1Story,6,Gable,Stucco,Wd Shng,None,4,BrkTil,3,768.0,3,768,768,1,1,3,4,0,0,Detchd,1,2.0,440.0,WD ,93850,78,58,78.0
2723,RL,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Gable,BrkFace,Wd Sdng,Stone,3,BrkTil,3,872.0,2,872,872,1,1,2,5,1,4,Detchd,1,1.0,322.0,WD ,105000,82,56,82.0
1350,RM,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,Gable,MetalSd,MetalSd,None,3,BrkTil,3,520.0,2,520,520,1,1,2,4,0,0,Detchd,1,1.0,240.0,WD ,68500,81,58,88.0
136,RL,Lvl,Corner,NAmes,Feedr,Duplex,2Story,5,Gable,MetalSd,MetalSd,BrkFace,3,CBlock,3,1105.0,3,1105,2274,2,2,3,12,0,0,Detchd,1,2.0,480.0,WD ,154300,50,50,50.0
2235,RM,Lvl,Inside,IDOTRR,Artery,1Fam,1.5Fin,5,Gable,VinylSd,VinylSd,None,4,BrkTil,3,936.0,5,936,1601,2,1,3,6,0,0,None,0,0.0,0.0,WD ,129850,82,4,0.0
1993,RM,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,Gable,MetalSd,MetalSd,None,3,BrkTil,3,616.0,5,616,1232,1,1,3,6,0,0,Detchd,1,2.0,480.0,WD ,114000,97,57,87.0
1309,RM,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,5,Gable,Wd Sdng,Wd Sdng,None,3,BrkTil,3,876.0,4,876,1416,1,1,3,7,1,4,Detchd,1,3.0,720.0,WD ,153900,93,58,59.0
402,RL,Lvl,FR2,NAmes,Norm,1Fam,1Story,4,Gable,VinylSd,VinylSd,None,3,CBlock,3,864.0,4,864,864,1,1,3,5,0,0,Detchd,1,2.0,576.0,WD ,130000,38,3,23.0
1592,RM,Lvl,FR2,Mitchel,Norm,TwnhsE,1Story,6,Hip,VinylSd,VinylSd,BrkFace,3,PConc,5,1189.0,5,1189,1189,2,1,3,4,0,0,Attchd,2,2.0,392.0,WD ,160500,11,11,11.0
2409,RL,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,Hip,MetalSd,MetalSd,BrkFace,5,PConc,5,1666.0,5,1666,1666,2,1,4,6,1,4,Attchd,2,2.0,575.0,New,310090,0,1,1.0
539,RL,Lvl,Inside,SawyerW,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,None,4,PConc,4,1176.0,5,1200,1200,2,1,4,5,0,0,Attchd,2,2.0,555.0,WD ,184900,6,6,6.0
1940,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,Wd Sdng,Wd Sdng,None,3,CBlock,4,928.0,3,928,928,1,1,3,4,0,0,Attchd,1,1.0,252.0,WD ,132000,51,7,51.0
588,RL,Lvl,Inside,NWAmes,Feedr,1Fam,1Story,5,Gable,HdBoard,HdBoard,BrkFace,3,CBlock,4,1288.0,3,1336,1336,2,1,3,6,1,2,Attchd,2,2.0,502.0,WD ,163000,40,40,40.0
96,FV,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,7,Gable,MetalSd,MetalSd,BrkFace,4,PConc,4,600.0,5,600,1200,2,1,4,4,0,0,Detchd,2,2.0,480.0,ConLD,155000,6,6,6.0
1187,RL,Lvl,Inside,NWAmes,Norm,1Fam,SLvl,6,Gable,MetalSd,MetalSd,None,3,CBlock,3,1427.0,4,1427,1427,2,1,3,7,0,0,Attchd,2,2.0,516.0,WD ,183000,39,39,39.0
2154,RL,Lvl,Corner,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,4,PConc,4,860.0,5,1212,1992,2,1,4,7,2,3,Attchd,2,2.0,608.0,WD ,211000,11,5,11.0
550,RL,Lvl,Inside,SawyerW,RRAe,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,4,PConc,4,754.0,5,754,1540,2,1,4,6,0,0,Attchd,2,2.0,495.0,WD ,184000,15,15,15.0
811,RL,Bnk,Inside,SawyerW,Norm,Duplex,1Story,5,Gable,HdBoard,HdBoard,None,3,Slab,0,0.0,3,1535,1535,2,2,3,8,0,0,Attchd,1,2.0,400.0,WD ,118858,30,30,30.0
124,RL,Lvl,Corner,NAmes,Norm,1Fam,SLvl,5,Hip,Wd Sdng,HdBoard,BrkFace,3,PConc,3,1152.0,3,1152,1152,1,1,3,6,1,4,Attchd,2,2.0,484.0,WD ,180500,46,46,46.0
1836,FV,Lvl,Inside,Somerst,Norm,TwnhsE,1Story,8,Gable,VinylSd,VinylSd,Stone,4,PConc,4,1141.0,5,1151,1151,2,1,4,5,0,0,Attchd,3,2.0,484.0,New,166000,1,0,1.0
779,RL,Lvl,Inside,Sawyer,Norm,1Fam,SLvl,6,Hip,Wd Sdng,Wd Sdng,BrkFace,3,CBlock,3,1138.0,5,1138,1138,1,1,3,6,1,3,Attchd,2,2.0,480.0,COD,148000,49,49,49.0
1886,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,Wd Sdng,Wd Sdng,None,3,CBlock,3,894.0,4,1074,1074,1,1,4,6,1,4,Detchd,1,2.0,396.0,WD ,124000,51,51,41.0
1724,RL,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,Hip,MetalSd,MetalSd,BrkFace,5,PConc,5,1561.0,5,1561,1561,2,1,5,6,1,4,Attchd,3,2.0,556.0,WD ,277500,2,2,2.0
2450,RL,Lvl,Inside,NoRidge,Norm,1Fam,2Story,8,Hip,VinylSd,VinylSd,BrkFace,4,PConc,4,1342.0,5,1358,2726,2,1,4,9,1,5,Attchd,2,3.0,725.0,WD ,350000,11,11,11.0
1013,RL,HLS,CulDSac,StoneBr,Norm,1Fam,1Story,9,Hip,VinylSd,VinylSd,BrkFace,5,PConc,5,1884.0,5,1884,1884,2,1,5,7,1,4,Attchd,3,3.0,670.0,WD ,387000,4,4,4.0
2084,RL,Lvl,Inside,Edwards,Norm,1Fam,1Story,4,Gable,Wd Sdng,Wd Sdng,None,3,BrkTil,3,528.0,5,605,605,1,1,3,5,0,0,None,0,0.0,0.0,WD ,86000,87,5,0.0
1184,RL,Lvl,Inside,Veenker,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,None,5,CBlock,4,1426.0,5,1671,1671,3,1,5,6,1,4,Attchd,2,2.0,550.0,WD ,290000,32,1,32.0
728,C (all),Lvl,Corner,IDOTRR,Norm,1Fam,1Story,3,Mansard,AsbShng,AsbShng,None,3,CBlock,2,245.0,3,797,797,1,1,3,5,0,0,None,0,0.0,0.0,WD ,44000,109,59,0.0
950,RL,Lvl,CulDSac,Mitchel,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,3,PConc,5,804.0,5,804,1961,2,1,4,7,1,3,BuiltIn,3,2.0,560.0,WD ,215000,8,7,8.0
2524,RL,Lvl,Corner,NWAmes,RRAn,2fmCon,1Story,5,Gable,Plywood,Plywood,BrkFace,3,CBlock,4,1153.0,5,1193,1193,2,1,3,6,0,0,Attchd,3,2.0,501.0,WD ,146500,34,34,34.0
2513,FV,Lvl,FR2,Somerst,Norm,Twnhs,2Story,7,Gable,MetalSd,MetalSd,None,4,PConc,4,673.0,5,673,1382,2,1,4,6,0,0,Detchd,1,2.0,490.0,WD ,165000,6,6,6.0
2028,RM,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,6,Gable,Stucco,Stucco,None,3,BrkTil,3,714.0,3,1664,2526,2,1,4,10,1,4,Detchd,1,1.0,216.0,CWD,136000,91,57,91.0
51,RL,Lvl,Inside,NridgHt,Norm,Twnhs,2Story,7,Gable,VinylSd,Wd Shng,Stone,4,PConc,4,764.0,5,764,1626,2,1,4,6,0,0,BuiltIn,2,2.0,474.0,WD ,175500,7,7,7.0
699,RM,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,Gable,Wd Sdng,Wd Sdng,None,3,BrkTil,3,690.0,3,868,1558,1,1,3,7,1,4,Detchd,1,2.0,400.0,WD ,150000,70,59,70.0
1881,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,Wd Sdng,Wd Sdng,None,3,CBlock,3,978.0,3,1422,1422,1,1,3,6,1,3,Attchd,2,1.0,286.0,WD ,139900,47,29,47.0
1345,RM,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,None,3,PConc,3,1078.0,3,1128,1573,2,1,3,8,1,4,Detchd,1,2.0,360.0,WD ,162900,78,16,78.0
166,RL,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,Hip,Wd Sdng,Wd Sdng,BrkFace,3,CBlock,3,1116.0,3,1116,1116,1,1,3,5,0,0,Attchd,1,2.0,440.0,WD ,160000,48,48,48.0
781,RL,Lvl,Corner,Sawyer,Norm,1Fam,1Story,2,Gable,Wd Sdng,Wd Sdng,None,3,Slab,0,0.0,2,660,660,1,1,2,5,0,0,None,0,0.0,0.0,WD ,63900,62,59,0.0
379,RL,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,Gable,HdBoard,HdBoard,BrkFace,3,PConc,3,1140.0,4,1707,1707,2,1,3,7,1,3,Attchd,3,2.0,479.0,WD ,184000,31,11,31.0
1168,FV,Lvl,Inside,Somerst,Norm,TwnhsE,1Story,9,Hip,MetalSd,MetalSd,BrkFace,4,PConc,4,1614.0,5,1638,1638,2,1,5,5,1,3,Attchd,3,2.0,495.0,WD ,300000,8,8,8.0
1396,RL,Lvl,Corner,ClearCr,Norm,1Fam,1Story,5,Flat,Plywood,Plywood,Stone,3,CBlock,3,988.0,4,1721,1721,2,1,3,7,2,3,Basment,1,2.0,626.0,WD ,145000,48,48,48.0
838,RL,Lvl,Inside,CollgCr,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,3,PConc,4,928.0,5,928,1764,2,1,4,7,0,0,Attchd,2,2.0,470.0,WD ,231500,12,12,12.0
1492,RL,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,Gable,WdShing,Wd Shng,None,3,CBlock,3,996.0,5,996,996,1,1,3,6,1,4,None,0,0.0,0.0,WD ,108000,68,39,0.0
